Id,NamePt,DescriptionPt,Image,Gi,Calories,Acidification,Carbohydrates,Ashes,Proteins,SaturedFats,MonounsaturatedFats,PolyunsaturatedFats,Cholesterol,TotalFat,DietaryFiber,Sugar,Gl,UnitOfMeasurement,IsRecipe,Icon,Keys,Type,A,Alanine,AlphaCarotene,Arginine,AsparticAcid,B1,B11,B12,B2,B3,B5,B6,B7,B9,BetaCarotene,C,Calcium,Choline,Copper,CryptoxanthinCarotene,Cystine,D,D2,D3,E,Fluoride,GlutamicAcid,Glutamine,Glycine,Histidine,Iron,Isoleucine,K,Leucine,Lycopene,Lysine,Magnesium,Manganese,Methionine,Phenylalanine,Phosphorus,Potassium,Proline,Selenium,Serine,Sodium,Threonine,Tryptophan,Tyrosine,Valine,Zinc,Description,Name
105,Leite de coco,"",https://media.istockphoto.com/photos/coconut-vegan-milk-with-halves-of-nuts-over-brown-background-picture-id1304494306?b=1&k=20&m=1304494306&s=170667a&w=0&h=bLfsZbv8t6Oej_GXr3KPy7uLuETt_Yb_w6tNaLtlm3s=,0,197,0,2.81,0,2.02,18.915,0,0,0,21.33,0,0,0,0,f,/images/food/coconut-milk.png,leite de coco,0,0,103,0,331,197,0,0,0,0,0.637,0,0.028,0,0,0,1,18,8.5,0.223,0,40,0,0,0,0,0,462,0,96,46,3.3,79,0,150,0,89,46,0.768,38,102,96,220,83,0,104,13,74,24,62,122,0.56,"",""
106,Leite de vaca,"",https://images.unsplash.com/photo-1608634960479-c70cf0c3dece?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=667&q=80,0,61,0,4.8,0,3.15,1.865,0,0,0,3.25,0,0,0,1,f,/images/food/milk.svg,"leite, leite de vaca",0,46,107,0,90,270,0,0,0.45,0.169,0.089,0,0.036,0,0,7,0,113,14.3,0.025,0,19,51,0,0,0,0,708,0,62,95,0.03,163,0.3,299,0,264,10,0.004,83,163,84,132,311,0,190,43,134,40,159,206,0.37,"",""
107,Lentilha cozida,"",https://d1uz88p17r663j.cloudfront.net/resized/7b01c063de9f3c6a8b7b786f54df253c_lentilhas-vinho-receitas-nestle_1200_600.jpg,0,92.63876,0,16.30225,0.612,6.3104167,0.1,0.1,0.3,0,0.52466667,7.8623333,0,0,0,f,/images/food/lentils.png,"lentilha, lentilhas, lentilha cozida, lentilhas cozidas",1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,16.101,0,0.17466667,0,0,0,0,0,0,0,0,0,0,0,1.4793333,0,0,0,0,0,21.646,0.28533334,0,0,103.74,219.90367,0,0,0,1.1763333,0,0,0,0,1.1306666,"",""
108,Lentilha crua,"",https://www.acasaencantada.com.br/wp-content/uploads/2019/09/lentilha.png,0,339.14124,0,62.004494,2.6066666,23.152174,0.1,0.2,0.4,0,0.77,16.936666,0,0,0,f,/images/food/lentils.png,"lentilha crua, farinha de lentilha, farinha de lentilhas",1,0,0,0,0,0,0.11333334,0,0,0,5.0733333,0,0.41666666,0,0,0,0,53.523335,0,0.8333333,0,0,0,0,0,0,0,0,0,0,0,7.0466666,0,0,0,0,0,93.53,1.0843333,0,0,367.73666,886.88336,0,0,0,0,0,0,0,0,3.4866667,"",""
109,Limão,"",https://minhasaude.proteste.org.br/wp-content/uploads/2020/10/lim%C3%B5es-970x472.jpg,0,29,0,9.32,0,1.1,0.039,0,0,0,0.3,0,0,0,0,f,/images/food/lemon.png,"limão, limões",4,1,0,1,0,0,0,0,0,0.02,0.1,0,0.08,0,0,3,53,26,5.1,0.037,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,8,0.03,0,0,16,138,0,0,0,2,0,0,0,0,0.06,"",""
110,Linhaça,"","https://images.immediate.co.uk/production/volatile/sites/30/2020/02/linseed2-62e1099.jpg?quality=90&resize=556,505",0,495.0961,0,43.3122,3.668,14.083867,4.2,7.1,25.3,0,32.252934,33.502666,0,0,0,f,/images/food/linseed.svg,semente de linhaça,1,0,0,0,0,0,0.11666667,0,0,0,0,0,0.13333334,0,0,0,0,211.49767,0,1.0873333,0,0,0,0,0,0,0,0,0,0,0,4.697,0,0,0,0,0,346.92233,2.8143334,0,0,615.182,869.287,0,0,0,8.673333,0,0,0,0,4.3883333,"",""
111,Lombo de porco,"",https://media.istockphoto.com/photos/baked-pork-loin-with-whole-grain-mustard-picture-id693429828?b=1&k=20&m=693429828&s=170667a&w=0&h=LogyIFTqLo69l8rDzTlDGApXotSFYZDUDffvNl7-ZRc=,0,242,0,0,0,27.32,5.23,0,0,0,13.92,0,0,0,0,f,/images/food/chop.png,"lombo, lombinho, lombo de porco, filé de porco, lombo suíno, filé suíno, filé mignon suíno",10,2,1603,0,1723,2512,0,0,0.7,0.321,5.037,0,0.464,0,0,0,0.6,19,93.9,0.073,0,344,53,0,0,0,0,4215,0,1409,1067,0.87,1260,0,2177,0,2446,28,0.009,712,1086,246,423,1158,0,1128,62,1234,338,936,1473,2.39,"",""
112,Macarrão fusilli,"",https://www.bonde.com.br/img/bondenews/2017/11/img_1_33_1117.jpg,0,371.12262,0,77.94435,0.5133333,9.995652,0,0,0,0,1.3033333,2.9266667,0,0,0,f,/images/food/screw-pasta.png,"massa, macarrão, massa parafuso, massa parafuso de trigo, macarrão parafuso, macarrão parafuso de trigo, macarrão fusilli, macarrão fusilli de trigo, massa fusilli, massa fusilli de trigo, massa fusili, massa fusili de trigo, macarrão fusili, macarrão fusili de trigo",5,0,0,0,0,0,0.17666666,0,0,0.02,3.5666666,0,0,0,0,0,0,17.3,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,27.69,0.5283333,0,0,99.81,147.06,0,0,0,7.17,0,0,0,0,0.77666664,"",""
113,Massa de pastel,"",https://i.panelinha.com.br/i1/64-bk-6977-massa-pastel1.webp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"",massa de,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
114,Maçã Fuji,"",https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=667&q=80,25,52,0,14,0,0.26,0.028,0,0,0,0.17,0,0,3,0,f,/images/food/apple.svg,"",4,3,11,0,6,70,0,0,0,0.026,0.091,0,0.041,0,0,27,4.6,6,3.4,0.027,0,1,0,0,0,0,0,25,0,9,5,0.12,6,2.2,13,0,12,5,0.035,1,6,11,107,6,0,10,1,6,1,1,12,0.04,"",""
