Id,NamePt,DescriptionPt,Image,Gi,Calories,Acidification,Carbohydrates,Ashes,Proteins,SaturedFats,MonounsaturatedFats,PolyunsaturatedFats,Cholesterol,TotalFat,DietaryFiber,Sugar,Gl,UnitOfMeasurement,IsRecipe,Icon,Keys,Type,A,Alanine,AlphaCarotene,Arginine,AsparticAcid,B1,B11,B12,B2,B3,B5,B6,B7,B9,BetaCarotene,C,Calcium,Choline,Copper,CryptoxanthinCarotene,Cystine,D,D2,D3,E,Fluoride,GlutamicAcid,Glutamine,Glycine,Histidine,Iron,Isoleucine,K,Leucine,Lycopene,Lysine,Magnesium,Manganese,Methionine,Phenylalanine,Phosphorus,Potassium,Proline,Selenium,Serine,Sodium,Threonine,Tryptophan,Tyrosine,Valine,Zinc,Description,Name
135,Noz-moscada,"",https://radioaratiba.com.br/wp-content/uploads/2018/06/noz-moscada-696x462.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/seasoning.png,"noz-moscada, noz moscada, noz-moscadas, noz moscadas",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
136,Óleo de soja,"",https://img.ibxk.com.br/2020/01/22/22215352968302.jpg?w=1120&h=420&mode=crop&scale=both,0,884,0,0,0,0,15.65,0,0,0,100,0,0,0,1,f,/images/food/oil.svg,óleo,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,183.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,"",""
137,Orégano,"",https://www.blog.bioritmo.com.br/wp-content/uploads/2021/11/shutterstock_524219779-1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/oregano.png,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
138,Ovo cru,"",https://images.unsplash.com/photo-1598965675045-45c5e72c7d05?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=751&q=80,0,240.18723,0,1.1936667,1.0996667,15.616667,4.1163335,5.727,4.9133334,516.2637,18.592667,0,0,0,0,f,/images/food/egg.svg,"ovos, ovo, ovo de galinha, ovos de galinha, ovos de frango, ovo de frango",0,93.89333,735,0,820,1329,0.06333333,0,0.89,0.31666666,0.075,0,0.17,0,0,0,0,72.88734,293.8,0.038666666,0,272,82,0,0,0,0,1673,0,432,309,2.0966666,671,0.3,1086,0,912,16.250334,0.034333333,380,680,422.41068,184.007,512,0,971,166.11234,556,167,499,858,1.4613333,"",""
139,Ovo cozido,"",https://images.aws.nestle.recipes/resized/8431b78f563804dd482bdc3911f82dc1_ovo-cozido-receitas-nestle_1200_600.jpg,0,240.18723,0,1.1936667,1.0996667,15.616667,4.1163335,5.727,4.9133334,516.2637,18.592667,0,0,0,0,f,/images/food/egg.svg,"ovo cozido, ovo cozido de galinha",5,93.89333,0,0,0,0,0.06333333,0,0,0.31666666,0,0,0,0,0,0,0,72.88734,0,0.038666666,0,0,0,0,0,0,0,0,0,0,0,2.0966666,0,0,0,0,0,16.250334,0.034333333,0,0,422.41068,184.007,0,0,0,166.11234,0,0,0,0,1.4613333,"",""
140,Ovo de codorna cru,"",https://data.gessulli.com.br/file/2016/05/19/H101457-F00000-L189-1200x0.jpeg,0,352.67334,0,1.56,1.7403333,15.9,9.2,12.1,4,1272.372,30.777,0,0,0,0,f,/images/food/egg.svg,"ovo de codorna, ovo de codorna cru",0,148.48,0,0,0,0,0.18,0,0,0.21666667,0,0,0,0,0,0,0,114.431,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9233334,0,0,0,0,0,9.367333,0.059333332,0,0,385.747,87.377335,0,0,0,44.90867,0,0,0,0,2.8736668,"",""
141,Ovo frito,"",https://cdn.panelinha.com.br/receita/1519158375914-ovo%20frito.jpg,0,386.84573,0,99.61,0,0.32,0,0,0,0,0,0,0,0,0,f,/images/food/egg.svg,"ovo frito, ovos fritos",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5866666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16333333,0,0,0,0,0,1.0066667,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,"",""
142,Pão caseiro,"",https://images.unsplash.com/photo-1537200275355-4f0c0714f777?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,274,0,47.54,0,10.67,0.697,0,0,0,4.53,0,0,0,0,f,/images/food/bread.svg,"pão, pãozinho, pão integral",12,0,0,0,0,0,0,0,0,0.252,5.59,0,0.111,0,0,1,0.2,125,18.7,0.148,0,0,0,0,0,0,0,0,0,0,0,3.6,0,4.9,0,0,0,41,1.026,0,0,129,141,0,0,0,473,0,0,0,0,1.04,"",""
143,Pão de Batata Doce,"",https://cdn.panelinha.com.br/receita/1544639354405-pa%CC%83o%20de%20batata-doce%20para%20trocar.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/bread.png,"pão de batata doce, bolinho de batata, bolinho de batata doce, bolinho de batata-doce, pão de batata-doce",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
144,Pão de Ló,"",https://s2.glbimg.com/WoMudBfzWeMl0GzSwccmbkAOiW4=/0x0:5472x3648/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/8/N/inlAOzTDKABlgDpAoqlg/pao-de-lo-1-.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"","pão de ló, pão-de-ló",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
145,Pão Francês,"",https://images.unsplash.com/photo-1580822642566-5138e95313d3?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,100,0,0,20,0,8.85,0.698,0,0,0,3.33,0,0,14,0,f,/images/food/bread-roll.svg,"",12,0,0,0,0,0,0,0,0,0.243,4.78,0,0.087,0,0,0,0,144,14.6,0.101,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0.2,0,0,0,23,0.536,0,0,98,126,0,0,0,490,0,0,0,0,0.74,"",""
146,Páprica,"",https://images.unsplash.com/photo-1575319026763-726d092c26c0?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=870&q=80,0,282,0,53.99,0,14.14,2.14,0,0,0,12.89,0,0,0,0,f,/images/food/paprika.png,"paprica, páprica doce, páprica picante",14,2463,640,595,890,2850,0,0,0,1.23,10.06,0,2.141,0,0,26162,0.9,229,51.5,0.713,0,230,0,0,0,0,0,2260,0,780,250,21.14,570,80.3,920,0,690,178,1.59,200,610,314,2280,2310,0,610,68,490,70,380,750,4.33,"",""
147,Patinho,"",https://s.cornershopapp.com/product-images/2660452.jpg?versionId=BnVK8BbjHmNiGVF3YvP8nYkZs4fDnYIr,0,338.47314,0,0,0.72,22.246666,11.7,11.5,0.4,99.54,26.993334,0,0,0,0,f,/images/food/meat-steak.svg,"patinho, carne moída, patinho moído, carne patinho, carne de patinho",10,0,0,0,0,0,0,0,0,0.3,4.536667,0,0,0,0,0,0,4.0266666,0,0.053333335,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,13.873333,0,0,0,135.96,204.49,0,0,0,55.706665,0,0,0,0,3.8933334,"",""
148,Patinho grelhado,"",https://www.kitano.com.br/wp-content/uploads/2019/07/SSP_2546-Contra-file%E2%95%A0%C3%BC-na-manteiga-e-alecrim.jpg,0,259.27563,0,0,0.85,17.556667,8.2,9.2,0.5,59.3,20.433332,0,0,0,0,f,/images/food/meat-steak.svg,"patinho grelhado, patinho assado, carne de patinho grelhado, carne de patinho assado, patinho assada, patinho assado",10,4.25,0,0,0,0,0.10666667,0,0,0.06666667,3.91,0,0.03,0,0,0,0,3.9433334,0,0.064,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,15.323334,0,0,0,124.363335,241.40334,0,0,0,63.763332,0,0,0,0,2.63,"",""
149,pastel,"pastel de frango, frito",https://s2.glbimg.com/w5pW4yBkSibfdkhkDE-GGVYd21I=/0x0:1080x608/924x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/P/A/rfLBcEQhizbQPhwoBQew/capas-para-materias-gshow-home-2-.jpg,0,236,0,23.57,0,7.14,5,0,0,0,12.14,0,0,0,0,f,/images/food/pasty.svg,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,"",""
150,Pavê de chocolate,"",https://cdn.panelinha.com.br/receita/1554734130093-_MGL7178.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"","torta de bolacha, torta de bolacha maria, torta de biscoito, torta de biscoito maria, pavê de bolacha, pavê de bolacha maria, pavê de chocolate, pavê de biscoito, pavê de biscoito maria, pavê",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
151,Peito de peru defumado,"",https://i2.wp.com/files.agro20.com.br/uploads/2019/11/Peito-de-peru-1.jpg?resize=600%2C338&ssl=1,0,273,0,0,0,26.83,6.47,0,0,0,17.61,0,0,0,0,f,/images/food/ham.svg,peito de peru,10,3,1585,0,1717,2445,0,0,0.68,0.313,4.574,0,0.402,0,0,0,0.3,14,92.2,0.1,0,333,33,0,0,0,0,4077,0,1493,1022,1.01,1218,0,2122,0,2390,22,0.032,687,1062,263,352,1198,0,1108,60,1198,324,903,1437,2.96,"",""
152,Pepino,"",https://s1.static.brasilescola.uol.com.br/be/2021/05/pepino.jpg,0,9.533691,0,2.0371015,0.29,0.8695652,0,0,0,0,0,1.12,0,0,0,f,/images/food/cucumber.png,"pepino, pepinos",4,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,4.9866667,9.616667,0,0.036666665,0,0,0,0,0,0,0,0,0,0,0,0.14666666,0,0,0,0,0,9.34,0.083333336,0,0,12.323334,153.69333,0,0,0,0,0,0,0,0,0.12666667,"",""
153,Pera,"",https://images.unsplash.com/photo-1562051725-cc35a65c8227?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,38,57,0,15.23,0,0.36,0.022,0,0,0,0.14,0,0,0,0,f,/images/food/pear.svg,"pêra, pera",4,1,14,1,10,105,0,0,0,0.026,0.161,0,0.029,0,0,14,4.3,9,5.1,0.082,0,2,0,0,0,0,0,30,0,13,2,0.18,11,4.4,19,0,17,7,0.048,2,11,12,116,21,0,15,1,11,2,2,17,0.1,"",""
154,Pernil de cordeiro,"",https://www.minervafoods.com/wp-content/uploads/2018/02/pernil_de_cordeiro_cru_-_blog.jpg,0,230,0,0,0,17.9,7.4,7,1.4,69,17.1,0,0,0,0,f,/images/food/ham.svg,"cordeiro, carne de cordeiro, pernil de cordeiro, pernis de cordeiro, pernil de cordeiro cru, pernis de cordeiros cru, ovelha, carne de ovelha, pernil de ovelha, pernis de ovelha, pernil de ovelha cru, pernis de ovelhas cru",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
155,Peru de natal,"",https://cdn.panelinha.com.br/receita/1167789600000-Peru-assado.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"","peru assado, peru de natal",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
156,Pimenta,"",https://images.unsplash.com/photo-1526179969422-e92255a5f223?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,333,0,66.67,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/pepper.svg,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,437,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
157,Pimenta do Reino,"",http://premiertemperos.com.br/novo/wp-content/uploads/2020/04/1706-1-1200x675.jpg,0,251,0,63.95,0,10.39,1.392,0,0,0,3.26,0,0,0,0,f,/images/food/black-pepper.png,"pimenta do reino, pimenta preta, pimenta",14,27,616,12,308,1413,0,0,0,0.18,1.143,0,0.291,0,0,310,0,443,11.3,1.33,0,138,0,0,0,0,0,1413,0,441,159,9.71,366,163.7,1014,20,244,171,12.753,96,446,158,1329,1413,0,409,20,244,58,483,547,1.19,"",""
158,Pimentão amarelo,"",https://agrodomingues.com.br/wp-content/uploads/2020/10/paprika-yellow-vegetables-318208.jpg,0,23.281364,0,5.4668117,0.44333333,1.0398551,0,0,0,0,0.14666666,1.5933334,0,0,0,f,/images/food/paprika.png,"pimentão amarelo, pimentões amarelos, pimentões amarelo",4,0,0,0,0,0,0.046666667,0,0,0.05666667,0,0,0.02,0,0,0,158.21,6.37,0,0.043333333,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0,0,0,0,11.13,0.06333333,0,0,19.96,210.91667,0,0,0,0,0,0,0,0,0.15333334,"",""
159,Pimentão verde,"",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmkxpDwz0UbKAHT7Yp0Qfo_37-sxuk50wlBw&usqp=CAU,0,351.22675,0,86.77333,0.17333333,0.43,0,0,0,0,0,0.23666666,0,0,0,f,/images/food/paprika.png,"pimentão, pimentão verde, pimentões verdes, pimentões",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.413334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,4.1,0.08766667,0,0,8.38,37.633335,0,0,0,1.5766667,0,0,0,0,0,"",""
160,Pimentão vermelho,"",https://cdn.awsli.com.br/800x800/998/998380/produto/36868381/1c91e001cd.jpg,0,29.939262,0,6.3739166,0.833,1.91875,0,0,0,0,0.299,4.5533333,0,0,0,f,/images/food/paprika.png,"pimentão vermelho, pimentões vermelhos, pimentões vermelho",4,0,0,0,0,0,0.10333333,0,0,0,0,0,0.03,0,0,0,5.596667,112.15967,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0,0.369,0,0,0,0,0,49.969,0.464,0,0,55.825,248.80434,0,0,0,0.891,0,0,0,0,0.589,"",""
161,Polenta,"",https://t2.rg.ltmcdn.com/pt/images/4/9/1/polenta_mole_194_600.jpg,74,0,0,21,1.3533334,1.23,0.06,0,0,0,0.39,2.4033334,0,11,0,f,/images/food/polenta.svg,"",5,0,107,0,71,99,0.043333333,0,0,0.058,0.762,0,0.035,0,0,0,0,1,2.4,0.044,0,26,0,0,0,0,0,268,0,59,44,0.57,51,0,175,0,40,5,0.037,30,70,14,22,125,0,68,2,54,10,58,72,0.14,"",""
162,Presunto,"Presunto, sem capa de gordura",https://images.unsplash.com/photo-1524438418049-ab2acb7aa48f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,273,0,0,0,26.83,6.47,0,0,0,17.61,0,0,0,0,f,/images/food/ham.svg,"",10,3,1585,0,1717,2445,0,0,0.68,0.313,4.574,0,0.402,0,0,0,0.3,14,92.2,0.1,0,333,33,0,0,0,0,4077,0,1493,1022,1.01,1218,0,2122,0,2390,22,0.032,687,1062,263,352,1198,0,1108,60,1198,324,903,1437,2.96,"",""
176,Repolho,"",https://assets.clevelandclinic.org/transform/871f96ae-a852-4801-8675-683191ce372d/Benefits-Of-Cabbage-589153824-770x533-1_jpg,0,78.234726,0,10.133166,0.42233333,6.7791667,0.463,0.47166666,0.097333334,21.342667,1.1166667,1.46,0,0,0,f,/images/food/cabbage.png,"repolho, cabeça de repolho",2,0,0,0,0,0,0.03,0,0,0,0.32,0,0,0,0,0,4.7733335,22.887333,0,1.4466667,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,13.459666,0.21966666,0,0,67.885666,184.03366,0,0,0,12.100667,0,0,0,0,1.7503333,"",""
177,Requeijão,"",https://images.unsplash.com/photo-1547920303-9befbe3decc7?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1049&q=80,0,350,0,5.52,0,6.15,20.213,0,0,0,34.44,0,0,0,0,f,/images/food/cream-cheese.svg,"",13,308,184,1,235,514,0,0,0.22,0.23,0.091,0,0.056,0,0,59,0,97,26.8,0.018,0,42,0,0,0,0,0,1304,0,142,175,0.11,324,2.1,657,0,567,9,0.011,191,291,107,132,665,0,374,314,233,69,303,395,0.5,"",""
178,Romã,"",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pomegranate.jpg/1200px-Pomegranate.jpg,0,55.739,0,15.105833,0.50333333,0.40416667,0,0,0,0,0,0.43866667,0,0,0,f,/images/food/pomegranate.png,"romã, romãs",4,0,0,0,0,0,0.11833333,0,0,0.16926667,0,0,0.05,0,0,0,8.123333,4.754,0,0.18733333,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,12.702,0.132,0,0,40.267,484.57068,0,0,0,0.5913333,0,0,0,0,0.67,"",""
163,Pudim,"Seja de leite, de coco ou até de pão, uma das sobremesas que mais tem ligação com brasileiro é o pudim. Apesar de alguns indícios apontarem Portugal como seu berço, o pudim é um dos orgulhos e paixões nacionais. E é claro que este doce merecia um dia só dele: no dia 22 de Maio se comemora o Dia Nacional do Pudim.

Se por um lado é praticamente incontestável o quão delicioso um pudim pode ser, em relação à sua origem, há várias dúvidas. Os portugueses afirmam ser os criadores do pudim, no século XVI, porém há controvérsias, pois historiadores afirmam que não tem como saber exatamente onde e nem quando esse doce foi inventado.

Outra história conta que o pudim foi inventado por um abade português (cargo religioso acima do monge). Os relatos dão conta de que ele não divulgava a sua receita secreta para ninguém que ousasse perguntar. Com o sucesso do doce entre a população, ele pensou em fazer uma competição com outros confeiteiros, para ver se algum deles conseguia fazer o pudim perfeitamente.

No fim das contas, ninguém conseguiu fazer a receita exatamente igual, porém já tinham uma ideia de como chegar a algo relativamente próximo. A receita original só foi revelada após a morte do abade, quando seu caderno de receitas foi encontrado. Bem, se é lenda ou não, dificilmente saberemos.

A primeira vez que se tem registro de uma receita de pudim no Brasil, foi no “O Cozinheiro Imperial”, primeiro livro de cozinha editado no País, de 1840. A receita era de pudim de nata. Porém, a forma atual da receita é preparada com leite condensado (mais à frente falaremos especificamente dele).

O Dia Nacional do Pudim é comemorado em 22 de Maio. Porém, não há registros de quando, nem do porquê de a data ter sido criada. Em outros países, como nos Estados Unidos (que tem praticamente um dia para tudo), a iguaria também tem seu valor – como no dia 12/02, quando é celebrado o Dia Nacional do Pudim de Ameixa.
",https://cdn.panelinha.com.br/receita/955076400000-Pudim-de-leite.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"","pudim, pudim de leite, pudim de leite condensado",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
164,Queijo Edam,"",https://heavenly-holland.com/wp-content/uploads/2017/05/cheese10-768x512.jpg,0,357,0,1.43,0,24.99,18.67,0,0,0,28.57,0,0,0,0,f,/images/food/cheese.svg,queijo edam,13,243,764,0,964,1747,0,0,1.54,0.389,0.082,0,0.076,0,0,11,0,731,15.4,0.036,0,255,20,0,0,0,0,6150,0,486,1034,0.44,1308,2.3,2570,0,2660,30,0.011,721,1434,536,188,3251,0,1547,973,932,352,1457,1810,3.75,"",""
165,Queijo muçarela,"",https://www.alimentosonline.com.br/fotos_artigos/6253/mussarela.jpg,0,329.87073,0,3.0493329,3.7803333,22.649,14.233334,5.95,0.49666667,79.579,25.183,0,0,0,0,f,/images/food/cheese.svg,"queijo, queijo muçarela, muçarela, mozarela, mozzarella, queijo mozarela",13,109,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,875.0393,0,0.082666665,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0,0,23.573668,0.028333334,0,0,469.99832,61.894333,0,0,0,581.357,0,0,0,0,3.522,"",""
166,Queijo minas frescal,"",https://img.itdg.com.br/tdg/images/blog/uploads/2018/09/queijo-minas-frescal.jpg?w=1200,0,264.27313,0,3.2403133,3.0433333,17.41102,11.4,5.8,0.4,61.996334,20.180666,0,0,0,0,f,/images/food/cheese.svg,"queijo minas frescal, queijos minas frescal",13,160.50667,0,0,0,0,0,0,0,0.25133333,0,0,0,0,0,0,0,579.25336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0,0,0,6.8836665,0.015666667,0,0,123.30967,104.846664,0,0,0,31.226334,0,0,0,0,0.29233333,"",""
167,Queijo minas meia cura,"",https://a-static.mlcdn.com.br/618x463/queijo-minas-canastra-meia-cura-legitimo-aprox-1-1-kg-canastra-redondo/emporiosantos/64b02c56a37d11ebbdbe4201ac1850f5/b27b602ba98eee6be92600c23b35c8f0.jpg,0,320.72183,0,3.5729597,3.4873333,21.211374,13.226666,5.5866666,0.33666667,76.29867,24.61,0,0,0,0,f,/images/food/cheese.svg,queijo minas,13,111.333336,0,0,0,0,0.03,0,0,0.32333332,0,0,0,0,0,0,0,695.91736,0,0.06866667,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,27.072666,0.022666667,0,0,402.53232,119.97733,0,0,0,501.16568,0,0,0,0,2.682,"",""
168,Queijo parmesão,"",https://a-static.mlcdn.com.br/618x463/queijo-minas-canastra-meia-cura-legitimo-aprox-1-1-kg-canastra-redondo/emporiosantos/64b02c56a37d11ebbdbe4201ac1850f5/b27b602ba98eee6be92600c23b35c8f0.jpg,0,452.96375,0,1.66072,8.009666,35.55361,19.7,8.7,0.4,105.844,33.529335,0,0,0,0,f,/images/food/cheese.svg,queijo minas,13,66.153336,0,0,0,0,0,0,0,0.44166666,0,0,0.23333333,0,0,0,0,991.96765,0,0.16866666,0,0,0,0,0,0,0,0,0,0,0,0.5323333,0,0,0,0,0,33.367332,0.048333332,0,0,744.62335,96.237,0,0,0,1844.081,0,0,0,0,4.358667,"",""
169,Queijo parmesão,"",https://a-static.mlcdn.com.br/618x463/queijo-minas-canastra-meia-cura-legitimo-aprox-1-1-kg-canastra-redondo/emporiosantos/64b02c56a37d11ebbdbe4201ac1850f5/b27b602ba98eee6be92600c23b35c8f0.jpg,0,303.0798,0,5.6763334,3.1096666,9.357333,15.9,7.3,0.4,82.15667,27.435333,0,0,0,0,f,/images/food/cheese.svg,queijo minas,13,57.31333,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,323.29935,0,0.045333333,0,0,0,0,0,0,0,0,0,0,0,0.26533332,0,0,0,0,0,16.001667,0.013,0,0,577.94336,193.721,0,0,0,780.426,0,0,0,0,1.3046666,"",""
170,Queijo petit suisse,"",https://storage.googleapis.com/imagens_videos_gou_cooking_prod/production/cooking/cropped_temp_32983750954cf8fe02e36d0.12560684_.jpg,0,121.10596,0,18.462008,0.698,5.78666,1.6,0.8,0,12.069333,2.8383334,0,0,0,0,f,/images/food/yoghurt.png,"queijo petit suisse, petit suisse, danone, danoninho",13,272.65668,0,0,0,0,0.22333333,0,0,0.26666668,2.6833334,0,0.21,0,0,0,0,730.9327,0,0.014666666,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0,0,0,26.508667,0.023333333,0,0,448.45868,121.46167,0,0,0,412.469,0,0,0,0,2.6633334,"",""
171,Queijo prato,"",https://www.casamissao.com.br/wp-content/uploads/2020/12/queijo-prato-fatiado.jpg,0,359.88046,0,1.878573,3.909,22.66176,16.286667,6.7766666,0.53,90.902336,29.106333,0,0,0,0,f,/images/food/cheese.svg,queijo prato,13,122.666664,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,939.99335,0,0.09866667,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,28.273666,0.032333333,0,0,460.83865,73.471664,0,0,0,579.774,0,0,0,0,3.4616666,"",""
172,Quibe assado,"",https://cdn.panelinha.com.br/receita/1564765785453-quibe.jpg,0,253.83131,0,12.337417,3.0103333,14.889584,4.5773335,5.025,4.998667,37.771667,15.799,0,0,0,0,f,/images/food/cake.svg,quibe assado,5,0,0,0,0,0,0.123333335,0,0,0.10333333,1.5033333,0,0,0,0,0,0,21.725666,0,0.158,0,0,0,0,0,0,0,0,0,0,0,1.9526666,0,0,0,0,0,38.772667,0.72,0,0,165.834,322.46735,0,0,0,835.825,0,0,0,0,2.782,"",""
173,Quibe frito,"",https://salgadosdesucesso.com.br/wp-content/uploads/2019/02/receita-de-quibe-frito-1200x900.jpg,0,592.5312,0,0,0.30333334,11.479167,17.7,20.1,10.1,73.083664,60.256668,0,0,0,0,f,/images/food/quibe.png,"quibe frito, quibe",5,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,2.386,0,0.112333335,0,0,0,0,0,0,0,0,0,0,0,0.43933332,0,0,0,0,0,3.568,0,0,0,35.358665,57.57,0,0,0,49.586666,0,0,0,0,0.21066667,"",""
174,Ricota,"","https://www.thespruceeats.com/thmb/0SFkKV13vXlNq4T_uq6IpmZUrAY=/2123x1415/filters:fill(auto,1)/106908888-58aefb225f9b58a3c9287cf3.jpg",0,139.73178,0,3.7861667,1.934,12.6005,4.5,2.4,0.2,48.703335,8.108666,0,0,0,0,f,/images/food/ricotta.png,"queijo ricota, ricotta",13,52.84667,0,0,0,0,0,0,0,0.14666666,0,0,0,0,0,0,0,253.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13666667,0,0,0,0,0,11.808666,0,0,0,161.51866,112.378334,0,0,0,282.579,0,0,0,0,0.46033335,"",""
175,Rabanete,"",http://vamoscomermelhor.com.br/wp-content/uploads/2014/07/dsc00507-2.jpg,0,13.738126,0,2.7253623,0.74666667,1.3913044,0,0,0,0,0.07333333,2.1933334,0,0,0,f,/images/food/radish.png,"rabanete, rabanetes, rabanete vermelho, rabanete cru",9,0,0,0,0,0,0.05666667,0,0,0.02,0,0,0.04,0,0,0,9.633333,20.866667,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,9.613334,0.07,0,0,24.983334,327.69666,0,0,0,10.993333,0,0,0,0,0.18,"",""
